,tns_name,previous_name,repeater_name,ra,dec,gb,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,previous_rp_name,redshift,fre_width,fre_width_ob,in_duration,energy,luminosity,T_B,log_dm_fitb,log_dm_exc_ne2001,log_bc_width,log_scat_time,log_flux,log_fluence,log_width_fitb,log_high_freq,log_low_freq,log_peak_freq,log_fre_width,log_redshift,log_in_duration,log_energy,log_luminosity,log_T_B
20,FRB20180907C,-9999,non-repeater,41.72,77.07,15.66,638.9,9.1,2.0,17.3,4.0,638.1999,546.8,522.9,1.97,0.0008,1.11,1.48,0,0.00027,2.5,-2.5,800.2,400.2,670.0,340394.587,347161,-9999,0.5321386212125543,612.8554484850218,400.00000000000006,0.17622426343271638,7.702439101647211e+39,8.850903318878567e+42,4.540039811756244e+29,2.804956731807583,2.7378285058957847,0.2944662261615929,-3.0969100130080562,0.045322978786657475,0.17026171539495738,-3.5686362358410126,2.903198547042978,2.6022770843001926,2.8260748027008264,2.7873580514706173,-0.2739752199874881,-0.7539342959836673,39.886628273308595,42.94698759684295,29.657059661216188
21,FRB20180907E,-9999,non-repeater,167.88,47.09,62.04,381.7,0.0,3.6,0.0,8.5,383.36,352.9,363.3,11.799999999999999,0.00338,0.73,6.9,0,0.00415,-7.1,-2.7,536.3,400.2,400.2,597440.649,598265,-9999,0.3118487102993607,178.54260947174294,136.09999999999997,3.1634745435340488,7.114686284441509e+39,9.874458230859817e+41,7.736797711825664e+27,2.5836067963731986,2.5476516583599693,1.0718820073061253,-2.4710832997223453,-0.1366771398795441,0.8388490907372553,-2.381951903287907,2.729407796963068,2.6022770843001926,2.6022770843001926,2.2517418778720137,-0.5060560477040126,0.5001643440434137,39.85215575502611,41.994513277077985,27.888561241838037
22,FRB20180908B,180908.J1232+74,repeater,188.22,74.19,42.88,197.3,23.8,4.0,69.9,9.8,195.2393,157.0,164.6,7.86,0.0021,1.17,5.0,0,0.001882,54.3,-71.9,698.5,488.3,584.1,315464.399,312506,FRB20180908B,0.07474761292138617,225.91194823607538,210.2,1.7511087974267139,4.004160971184162e+38,1.007010212254759e+41,6.98148259698625e+26,2.2905672418922776,2.1958996524092336,0.895422546039408,-2.677780705266081,0.06818586174616162,0.6989700043360189,-2.725380380908762,2.844166410450201,2.6886867242841235,2.766487206239694,2.3539392008883664,-1.1264026720553482,0.2433131298950953,38.602511528220816,41.0030338748271,26.843947659774617
23,FRB20180909A,-9999,non-repeater,123.63,56.76,33.67,407.6,0.0,1.2,0.0,2.3,408.647,358.8,364.5,19.66,0.0082,0.33,1.02,0,0.00631,-0.3,-1.3,800.2,400.2,400.2,256401.455,256250,-9999,0.3186912132291523,527.476485291661,400.00000000000006,4.78504742937382,1.1000726961598684e+39,4.693299465215452e+41,1.3178435604774159e+27,2.611348314980677,2.5548524343720547,1.2935835134961169,-2.0861861476162833,-0.4814860601221125,0.00860017176191757,-2.1999706407558657,2.903198547042978,2.6022770843001926,2.6022770843001926,2.7222031037124745,-0.4966299104788853,0.679886246859622,39.04142138561085,41.671478266111336,27.119863858775567
24,FRB20180910A,-9999,non-repeater,352.77,88.21,25.45,684.2,2.8,2.2,5.7,4.2,684.4081,626.3,627.7,0.98,0.000244,6.5,5.6,0,0.000205,0.05,-0.53,800.2,400.2,417.6,149900.203,147737,-9999,0.6208279957621441,648.3311983048577,400.00000000000006,0.12647856560720688,2.490184734821756e+40,4.684829886307342e+43,3.7909692326015537e+31,2.835315140793795,2.7967824117013076,-0.00877392430750515,-3.612610173661271,0.8129133566428556,0.7481880270062004,-3.688246138944246,2.903198547042978,2.6022770843001926,2.620760489994206,2.8117969207632276,-0.2070287071318352,-0.8979830683795108,40.396231566508476,43.67069382558039,31.578750259719076
25,FRB20180911C,-9999,repeater,65.54,73.63,16.58,190.9,43.8,6.9,155.9,25.6,189.84,102.0,81.5,6.88,0.0039,0.97,6.2,0,0.00319,75.0,-93.0,701.3,511.7,599.0,532091.517,527130,FRB20180814A,0.002690508823404546,190.1101204729175,189.59999999999997,3.181440306783464,6.372858237287281e+35,9.997265055720737e+37,8.990502039289365e+23,2.278387725209283,2.0086001717619175,0.8375884382355113,-2.408935392973501,-0.01322826573375516,0.7923916894982539,-2.496209316942819,2.8459038388987823,2.7090154169721172,2.7774268223893115,2.2790052370577087,-2.57016557936563,0.5026237790015197,35.80433425781006,37.99988120663372,23.953783943880655
26,FRB20180911A,-9999,non-repeater,99.55,84.62,26.69,221.6,2.2,1.2,5.0,2.6,221.254,164.7,166.7,1.97,0.00094,1.6,2.6,0,0.000831,-5.78,0.2,599.9,400.2,400.2,163691.915,162026,-9999,0.08457422091560639,216.58947191684658,199.7,0.7661992918275922,1.834128793897667e+38,1.2241531124310421e+41,4.162360996029804e+28,2.344891130950539,2.2166935991697545,0.2944662261615929,-3.0268721464003012,0.2041199826559248,0.414973347970818,-3.080398976215889,2.778078861937455,2.6022770843001926,2.6022770843001926,2.3356373424114496,-1.0727619941738749,-0.11565825375663606,38.2634298288886,41.08783574111445,28.619339743291498
27,FRB20180915A,-9999,non-repeater,280.55,17.91,10.04,370.4,0.0,7.9,0.0,15.4,371.029,199.1,224.9,4.92,0.00088,2.3,6.2,0,0.0008,6.5,-9.1,800.2,400.2,571.9,272951.369,272377,-9999,0.127825432296605,451.1301729186421,400.00000000000006,0.7093296330186047,1.452879526758559e+39,6.078656943201814e+41,1.0919487116767815e+28,2.569407855835427,2.2990712600274095,0.6919651027673603,-3.0555173278498313,0.36172783601759284,0.7923916894982539,-3.0969100130080562,2.903198547042978,2.6022770843001926,2.7573200965466724,2.6543018749670177,-0.8933827298456058,-0.14915189664711176,39.162229603951744,41.78380763411013,28.038202240237897
28,FRB20180915B,-9999,non-repeater,225.23,25.02,60.93,176.3,0.0,2.4,0.0,4.2,177.127,154.7,154.1,4.92,0.0001108,0.99,3.8,0,0.001694,-9.2,3.0,527.4,400.2,400.2,278172.462,276025,-9999,0.07180119583342125,136.33311211001117,127.19999999999999,1.5805169900774028,1.921417656855088e+38,5.365220960235806e+40,2.959640092475619e+27,2.2482847670469637,2.1894903136993675,0.6919651027673603,-3.955460239607589,-0.004364805402450088,0.5797835966168101,-2.771086594005312,2.7221401254574156,2.6022770843001926,2.6022770843001926,2.1346013485726716,-1.1438683226165949,0.1987991687344113,38.2836217773303,40.72958761257132,27.4712389018173
29,FRB20180916A,-9999,non-repeater,348.97,80.33,18.23,296.0,7.6,2.9,15.2,5.9,296.0275,217.6,206.0,0.98,0.000188,2.4,4.5,0,0.0001,2.41,-8.1,793.2,400.2,464.7,141368.791,138009,-9999,0.15069264732854537,452.22221040011834,393.00000000000006,0.08690417917604722,1.2009492105375585e+39,7.37025827402981e+41,6.0964944820461135e+29,2.4713320574896733,2.3376588910261424,-0.00877392430750515,-3.72584215073632,0.38021124171160603,0.6532125137753437,-4.0,2.8993827055332653,2.6022770843001926,2.6671726724788685,2.6553518884324627,-0.8219079374832543,-1.0609593380570357,39.07952464100017,41.867482706993464,29.78508018505639
