tns_name,repeater,PCA_K-means,UMAP_HDBSCAN,T-SNE_HDBSCAN
FRB20190218A,non-repeater,-1,-1.0,-1.0
FRB20190218B,non-repeater,1,1.0,1.0
FRB20190218C,non-repeater,-1,1.0,1.0
FRB20190219A,non-repeater,-1,-1.0,-1.0
FRB20190219B,non-repeater,-1,-1.0,-1.0
FRB20190219C,non-repeater,-1,-1.0,-1.0
FRB20190220A,non-repeater,1,1.0,1.0
FRB20190221A,non-repeater,1,1.0,1.0
FRB20190221B,non-repeater,1,-1.0,-1.0
FRB20190221C,non-repeater,-1,-1.0,-1.0
FRB20190221D,non-repeater,-1,-1.0,-1.0
FRB20190222B,non-repeater,1,1.0,1.0
FRB20190222C,non-repeater,-1,1.0,1.0
FRB20190222A,repeater,1,1.0,1.0
FRB20190222D,non-repeater,-1,-1.0,-1.0
FRB20190223A,non-repeater,1,1.0,1.0
FRB20190223B,non-repeater,-1,0.0,0.0
FRB20190224A,non-repeater,-1,1.0,1.0
FRB20190224B,non-repeater,-1,-1.0,-1.0
FRB20190224C,non-repeater,-1,0.0,0.0
FRB20190224D,non-repeater,-1,-1.0,-1.0
FRB20190224E,non-repeater,-1,-1.0,-1.0
FRB20190226A,non-repeater,-1,0.0,0.0
FRB20190226B,non-repeater,1,0.0,0.0
FRB20190226C,non-repeater,-1,1.0,1.0
FRB20190227A,non-repeater,-1,0.0,0.0
FRB20190227B,non-repeater,-1,-1.0,-1.0
FRB20190228A,non-repeater,1,1.0,1.0
FRB20190228B,non-repeater,-1,-1.0,-1.0
FRB20190301B,non-repeater,-1,1.0,1.0
FRB20190301C,non-repeater,-1,-1.0,-1.0
FRB20190301D,non-repeater,-1,-1.0,-1.0
FRB20190301A,repeater,-1,1.0,1.0
FRB20190301A,repeater,-1,1.0,1.0
FRB20190302A,non-repeater,1,-1.0,-1.0
FRB20190303B,non-repeater,1,-1.0,-1.0
FRB20190303C,non-repeater,-1,-1.0,-1.0
FRB20190303D,non-repeater,-1,-1.0,-1.0
FRB20190303A,repeater,1,1.0,1.0
FRB20190304A,non-repeater,-1,1.0,1.0
FRB20190304B,non-repeater,-1,-1.0,-1.0
FRB20190304C,non-repeater,-1,1.0,1.0
FRB20190308C,non-repeater,1,1.0,1.0
FRB20190308C,non-repeater,1,1.0,1.0
FRB20190308B,non-repeater,1,1.0,1.0
FRB20190308B,non-repeater,1,1.0,1.0
FRB20190309A,non-repeater,-1,1.0,1.0
FRB20190313B,non-repeater,-1,-1.0,-1.0
FRB20190313A,repeater,1,0.0,0.0
FRB20190316A,non-repeater,-1,0.0,0.0
FRB20190317A,non-repeater,-1,-1.0,-1.0
FRB20190317B,non-repeater,-1,0.0,0.0
FRB20190317C,non-repeater,1,0.0,0.0
FRB20190317F,non-repeater,-1,-1.0,-1.0
FRB20190317E,non-repeater,-1,0.0,0.0
FRB20190318A,non-repeater,-1,-1.0,-1.0
FRB20190319A,non-repeater,-1,-1.0,-1.0
FRB20190320A,non-repeater,-1,-1.0,-1.0
FRB20190320B,non-repeater,-1,-1.0,-1.0
FRB20190320C,non-repeater,-1,-1.0,-1.0
FRB20190320D,non-repeater,-1,-1.0,-1.0
FRB20190320E,non-repeater,-1,0.0,0.0
FRB20190322A,non-repeater,-1,-1.0,-1.0
FRB20190322B,non-repeater,-1,-1.0,-1.0
FRB20190322C,non-repeater,-1,-1.0,-1.0
FRB20190323A,non-repeater,-1,-1.0,-1.0
FRB20190323B,non-repeater,-1,-1.0,-1.0
FRB20190323C,non-repeater,-1,-1.0,-1.0
FRB20190323D,non-repeater,1,1.0,1.0
FRB20190325A,non-repeater,-1,-1.0,-1.0
FRB20190325B,non-repeater,-1,-1.0,-1.0
FRB20190325C,non-repeater,-1,-1.0,-1.0
FRB20190326A,non-repeater,-1,0.0,0.0
FRB20190327A,non-repeater,-1,-1.0,-1.0
FRB20190328A,non-repeater,-1,-1.0,-1.0
FRB20190328B,non-repeater,-1,0.0,0.0
FRB20190328C,non-repeater,-1,0.0,0.0
FRB20190329A,non-repeater,1,1.0,1.0
FRB20190330A,non-repeater,-1,-1.0,-1.0
FRB20190330B,non-repeater,-1,-1.0,-1.0
FRB20190401A,non-repeater,-1,-1.0,-1.0
FRB20190402A,non-repeater,-1,-1.0,-1.0
FRB20190403G,non-repeater,-1,0.0,0.0
FRB20190403A,non-repeater,-1,0.0,0.0
FRB20190403B,non-repeater,1,-1.0,-1.0
FRB20190403C,non-repeater,-1,-1.0,-1.0
FRB20190403D,non-repeater,-1,-1.0,-1.0
FRB20190403E,non-repeater,1,1.0,1.0
FRB20190403F,non-repeater,-1,-1.0,-1.0
FRB20190404A,non-repeater,-1,-1.0,-1.0
FRB20190404B,non-repeater,-1,-1.0,-1.0
FRB20190405A,non-repeater,1,-1.0,-1.0
FRB20190405B,non-repeater,-1,-1.0,-1.0
FRB20190406A,repeater,-1,0.0,0.0
